lvl 	GB 0 	GB 1 	GB 2 	GB 3 	GB 4
1 	12:30:00 	2:30:00 	2:24:40 	2:19:30 	2:14:30
2 	13:05:50 	2:37:10 	2:31:30 	2:26:00 	2:20:50
3 	13:41:40 	2:44:20 	2:38:30 	2:32:40 	2:27:10
4 	14:18:20 	2:51:40 	2:45:30 	2:39:30 	2:33:50
5 	14:55:00 	2:59:00 	2:52:40 	2:46:20 	2:40:20
6 	15:32:30 	3:06:30 	2:59:50 	2:53:20 	2:47:10
7 	16:10:50 	3:14:10 	3:07:10 	3:00:30 	2:54:00
8 	16:49:10 	3:21:50 	3:14:40 	3:07:40 	3:00:50
9 	17:28:20 	3:29:40 	3:22:10 	3:14:50 	3:07:50
10 	18:08:20 	3:37:40 	3:29:50 	3:22:20 	3:15:00
11 	18:48:20 	3:45:40 	3:37:30 	3:29:40 	3:22:10
12 	19:29:10 	3:53:50 	3:45:30 	3:37:20 	3:29:30
13 	20:10:50 	4:02:10 	3:53:20 	3:45:00 	3:36:50
14 	20:52:30 	4:10:30 	4:01:30 	3:52:50 	3:44:30
15 	21:35:00 	4:19:00 	4:09:40 	4:00:40 	3:52:00
16 	22:18:20 	4:27:40 	4:18:00 	4:08:40 	3:59:50
17 	23:01:40 	4:36:20 	4:26:30 	4:16:50 	4:07:40
18 	23:46:40 	4:45:20 	4:35:00 	4:25:10 	4:15:30
19 	24:30:50 	4:54:10 	4:43:40 	4:33:30 	4:23:40
20 	25:16:40 	5:03:20 	4:52:30 	4:42:00 	4:31:50
21 	26:03:20 	5:12:40 	5:01:20 	4:50:30 	4:40:00
22 	26:50:00 	5:22:00 	5:10:20 	4:59:10 	4:48:30
23 	27:37:30 	5:31:30 	5:19:30 	5:08:00 	4:57:00
24 	28:25:50 	5:41:10 	5:28:50 	5:17:00 	5:05:40
25 	29:14:10 	5:50:50 	5:38:20 	5:26:10 	5:14:20
26 	30:04:10 	6:00:50 	5:47:50 	5:35:20 	5:23:10
27 	30:54:10 	6:10:50 	5:57:30 	5:44:40 	5:32:10
28 	31:45:00 	6:21:00 	6:07:20 	5:54:10 	5:41:20
29 	32:36:40 	6:31:20 	6:17:20 	6:03:40 	5:50:40
30 	33:29:10 	6:41:50 	6:27:20 	6:13:30 	6:00:00
31 	34:22:30 	6:52:30 	6:37:40 	6:23:20 	6:09:30
32 	35:16:40 	7:03:20 	6:48:00 	6:33:20 	6:19:10
33 	36:10:50 	7:14:10 	6:58:30 	6:43:30 	6:29:00
34 	37:06:40 	7:25:20 	7:09:20 	6:53:50 	6:38:50
35 	38:02:30 	7:36:30 	7:20:10 	7:04:10 	6:49:00
36 	38:59:10 	7:47:50 	7:31:00 	7:14:50 	6:59:10
37 	39:57:30 	7:59:30 	7:42:10 	7:25:30 	7:09:30
38 	40:55:50 	8:11:10 	7:53:30 	7:36:30 	7:20:00
39 	41:55:00 	8:23:00 	8:05:00 	7:47:30 	7:30:40
40 	42:55:50 	8:35:10 	8:16:30 	7:58:40 	7:41:30
41 	43:56:40 	8:47:20 	8:28:20 	8:10:00 	7:52:20
42 	44:58:20 	8:59:40 	8:40:20 	8:21:30 	8:03:30
43 	46:00:50 	9:12:10 	8:52:20 	8:33:10 	8:14:40
44 	47:05:00 	9:25:00 	9:04:40 	8:45:00 	8:26:10
45 	48:09:10 	9:37:50 	9:17:00 	8:57:00 	8:37:40
46 	49:15:00 	9:51:00 	9:29:40 	9:09:10 	8:49:20
47 	50:20:50 	10:04:10 	9:42:30 	9:21:30 	9:01:20
48 	51:28:20 	10:17:40 	9:55:30 	9:34:00 	9:13:20
49 	52:36:40 	10:31:20 	10:08:40 	9:46:40 	9:25:40
50 	53:45:50 	10:45:10 	10:22:00 	9:59:30 	9:38:00
51 	54:55:50 	10:59:10 	10:35:30 	10:12:40 	9:50:30
52 	56:07:30 	11:13:30 	10:49:10 	10:25:50 	10:03:20
53 	57:19:10 	11:27:50 	11:03:10 	10:39:10 	10:16:10
54 	58:32:30 	11:42:30 	11:17:10 	10:52:50 	10:29:20
55 	59:46:40 	11:57:20 	11:31:30 	11:06:40 	10:42:40
56 	61:01:40 	12:12:20 	11:46:00 	11:20:40 	10:56:10
57 	62:18:20 	12:27:40 	12:00:40 	11:34:50 	11:09:50
58 	63:35:50 	12:43:10 	12:15:40 	11:49:10 	11:23:40
59 	64:54:10 	12:58:50 	12:30:40 	12:03:40 	11:37:40
60 	66:13:20 	13:14:40 	12:46:00 	12:18:30 	11:51:50
61 	67:34:10 	13:30:50 	13:01:40 	12:33:30 	12:06:20
62 	68:55:50 	13:47:10 	13:17:20 	12:48:40 	12:21:00
63 	70:18:20 	14:03:40 	13:33:20 	13:04:00 	12:35:50
64 	71:42:30 	14:20:30 	13:49:30 	13:19:40 	12:51:00
65 	73:08:20 	14:37:40 	14:06:00 	13:35:30 	13:06:10
66 	74:34:10 	14:54:50 	14:22:40 	13:51:40 	13:21:40
67 	76:01:40 	15:12:20 	14:39:30 	14:07:50 	13:37:20
68 	77:30:50 	15:30:10 	14:56:40 	14:24:20 	13:53:20
69 	79:00:50 	15:48:10 	15:14:00 	14:41:10 	14:09:30
